run_id	workflow	created_at	event	kind	failed_checks	fail_rows	digest
29525578753	DB	2026-07-16T18:50:12Z	schedule	guard-trip	det_master	DET_MASTER:windows_server_2019 microsoft-cvrf 1360 1680 320 0 23.5% 10.0% ;; DET_MASTER:windows_11_25h2 microsoft-cvrf 1775 2162 387 0 21.8% 20.0% ;; DET_MASTER:windows_11_24h2 microsoft-cvrf 1782 2169 387 0 21.7% 20.0% ;; DET_MASTER:windows_server_2016 microsoft-cvrf 1506 1763 257 0 17.1% 10.0% ;; DET_MASTER:windows_server_2012 microsoft-cvrf 1144 1319 175 0 15.3% 10.0% ;; DET_MASTER:windows_server_2012_r2 microsoft-cvrf 1221 1407 186 0 15.2% 10.0%	sha256:d7ae0804bc00f3f4c369a6e2e963e18d9774b6fcc39562bc02b10055f393c039
29624663782	DB	2026-07-18T01:09:55Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:449a7c557fd4ddf3e2f11055f510aca9741deb2a898048d31ce6b5a076c1e986
29626912188	DB(Nightly)	2026-07-18T02:21:52Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:79c18a3aada48c67a494ff55e0786dba6e5535970b074bc50936380cef481f5e
29635590274	DB	2026-07-18T07:21:13Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:5f70c8e1da3ccef0bb13e6d8f52b6b8158ae09e433bb6d886fc8dd2119ccd8a4
29636313244	DB(Nightly)	2026-07-18T07:46:19Z	schedule	build-fail			
29644772448	DB	2026-07-18T12:41:05Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:a8f40befa9721c2ccb126cbf91967732100fe39fee4420fc92a76a19a9ddeed0
29645671253	DB(Nightly)	2026-07-18T13:10:41Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:cbb6eb1a985f37e7575d31790c99ae49f3b0ae72a03df8a4baea6b90289a80e2
29656321841	DB	2026-07-18T18:40:23Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:ef4491e77229fe9cc8eeb8d15897e3c8fa0e7befe2d8837f72cfb84b5a2412da
29656985898	DB(Nightly)	2026-07-18T19:01:02Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.8% 0.0% 10.0% ;; DB:cpe cisco-json 14.7% 0.0% 10.0%	sha256:7d32c40394984c85b376c42cf4be3ffd349604589edf267c0ae9f9c011b6ce2e
29668277691	DB	2026-07-19T01:14:47Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.1% 0.0% 10.0%	sha256:e685ba23fded248749e9cc5fde992f07838c5a4b94556b519ea56c39f700887d
29670397872	DB(Nightly)	2026-07-19T02:34:11Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.1% 0.0% 10.0%	sha256:69b57d808ed5390c29d59ac41385d44a80ee62f3ef24959f32cbe0a294b8499e
29678821490	DB	2026-07-19T07:51:51Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.1% 0.0% 10.0%	sha256:f98f7e28690154daa1de97cdf1173932f6c25b6a15fa0e4c84b116cd0939543e
29679447901	DB(Nightly)	2026-07-19T08:13:23Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.1% 0.0% 10.0%	sha256:b35f1b915e436bf9fc439d73fe7d251432b24ed6d19a996bcb3b66ff05ef5ccf
29688485685	DB(Nightly)	2026-07-19T13:13:57Z	schedule	other-fail			
29699187139	DB	2026-07-19T18:43:00Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:6c3439901f4bfd4a392530b745db2d86846e80ab83d334a4978af581e1df286a
29699850868	DB(Nightly)	2026-07-19T19:02:54Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:a70e09b0666499935cfde2fd50d5219524302df7367b2721b7b03da76675e21e
29710730310	DB	2026-07-20T01:18:19Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:d52ca314b8478a2fb0403ee2b035393caba910be86bb53b201709621a60d0c6f
29713287627	DB(Nightly)	2026-07-20T02:48:57Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:450e3bf6d8b141f1a54ff02a1fcdf971590ad3609d5b710ab5093684521fdac2
29728119342	DB	2026-07-20T08:30:32Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:1988c518cd9fbe77f1d1742a9a7a468ea0629c77f987879d79267858807bd228
29729463272	DB(Nightly)	2026-07-20T08:54:28Z	schedule	guard-trip	db	DB:suse.linux.enterprise:16 suse-oval 212.9% 0.0% 10.0% ;; DB:cpe cisco-json 15.2% 0.0% 10.0%	sha256:f02dc2de7d906a71de1d4f798ae7064bc776b8dd2e27aaa4eab93378edb40646
